No,種別,店名(日本語読み),店名(ハングル),ジャンル,料理の詳細,犬の同伴,テラス席,エリア(日),エリア(韓),区,住所(ハングル),緯度,経度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
11,レストラン,シチリアブルース,시칠리 블루스 망원동,ワインバー,ワイン・イタリアン小皿,店内OK,あり,望遠（マンウォン）,망원,麻浦区,서울특별시 마포구 망원로6길 59 1층,37.5543883,126.9040362,4.3,4,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5543883%2C126.9040362,https://map.naver.com/p/search/%EC%8B%9C%EC%B9%A0%EB%A6%AC%20%EB%B8%94%EB%A3%A8%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%A7%9D%EC%9B%90%EB%A1%9C6%EA%B8%B8%2059%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=bP5YaW8VJ1mK,와인바
12,レストラン,春川チン炭火タッカルビ,춘천진숯불닭갈비 상암동,韓国料理,タッカルビ（鶏の鉄板炒め）,店内OK,なし,上岩（サンアム）,상암,麻浦区,"서울특별시 마포구 성암로15길 7-1 1,2층",37.5784348,126.8958121,4,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5784348%2C126.8958121,https://map.naver.com/p/search/%EC%B6%98%EC%B2%9C%EC%A7%84%EC%88%AF%EB%B6%88%EB%8B%AD%EA%B0%88%EB%B9%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%84%B1%EC%95%94%EB%A1%9C15%EA%B8%B8%207-1%201%2C2%EC%B8%B5,https://www.diningcode.com/profile.php?rid=LsRDvfQoJUQr,"닭갈비, 숯불닭갈비"
13,レストラン,ランゲ,랑게 대흥역,イタリアン,パスタ（ウニパスタ）,店内OK,なし,大興（テフン）,대흥,麻浦区,서울특별시 마포구 독막로31길 10 1층,37.5476821,126.9390864,5,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5476821%2C126.9390864,https://map.naver.com/p/search/%EB%9E%91%EA%B2%8C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%8F%85%EB%A7%89%EB%A1%9C31%EA%B8%B8%2010%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=NVnSW1rbp9W9,"파스타, 우니파스타"
14,レストラン,ソンギョンソッパプ,송경솥밥 연남점,韓国料理,釜飯定食（ソッパプ）,店内OK,なし,延南洞（ヨンナムドン）,연남동,麻浦区,서울특별시 마포구 성미산로29길 20 2층,37.5649936,126.9224612,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5649936%2C126.9224612,https://map.naver.com/p/search/%EC%86%A1%EA%B2%BD%EC%86%A5%EB%B0%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%84%B1%EB%AF%B8%EC%82%B0%EB%A1%9C29%EA%B8%B8%2020%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=pvsbyVIff5FV,"솥밥, 한식"
15,レストラン,ドゥユライクイット,두유라이크잇 연남,ブランチ,エッグベネディクト・ブランチ,店内OK,なし,延南洞（ヨンナムドン）,연남동,麻浦区,서울특별시 마포구 성미산로29길 29-5 1층 101호 두유라이크잇,37.5651197,126.9218606,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5651197%2C126.9218606,https://map.naver.com/p/search/%EB%91%90%EC%9C%A0%EB%9D%BC%EC%9D%B4%ED%81%AC%EC%9E%87%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%84%B1%EB%AF%B8%EC%82%B0%EB%A1%9C29%EA%B8%B8%2029-5%201%EC%B8%B5%20101%ED%98%B8%20%EB%91%90%EC%9C%A0%EB%9D%BC%EC%9D%B4%ED%81%AC%EC%9E%87,https://www.diningcode.com/profile.php?rid=7f18v0pcrDoM,"브런치, 에그베네딕트"
16,レストラン,サマーレーン,Summer Lane 한남동,ブランチ,オーストラリア式ブランチ,店内OK,なし,漢南洞（ハンナムドン）,한남동,龍山区,서울특별시 용산구 이태원로55가길 49 1층 summerlane,37.5363661,126.9992855,4.3,27,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5363661%2C126.9992855,https://map.naver.com/p/search/Summer%20Lane%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%9D%B4%ED%83%9C%EC%9B%90%EB%A1%9C55%EA%B0%80%EA%B8%B8%2049%201%EC%B8%B5%20summerlane,https://www.diningcode.com/profile.php?rid=0UvJFCodmpKM,"브런치, 호주"
17,レストラン,ピクピク,픽픽 후암동,洋食,洋食＋韓国家庭料理,店内OK,あり,厚岩洞（フアムドン）,후암동,龍山区,서울특별시 용산구 후암로 18 1층 픽픽,37.5475443,126.9782071,4,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5475443%2C126.9782071,https://map.naver.com/p/search/%ED%94%BD%ED%94%BD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%ED%9B%84%EC%95%94%EB%A1%9C%2018%201%EC%B8%B5%20%ED%94%BD%ED%94%BD,https://www.diningcode.com/profile.php?rid=X1njh4R8sc76,"양식, 한식"
18,レストラン,リットハウス,리트하우스 남산,ブランチ,サンドイッチ・ブランチ,店内OK,あり,南山／厚岩洞,남산·후암동,龍山区,서울특별시 용산구 소월로2길 5 1층,37.5547789,126.9767756,4,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5547789%2C126.9767756,https://map.naver.com/p/search/%EB%A6%AC%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%9A%A9%EC%82%B0%EA%B5%AC%20%EC%86%8C%EC%9B%94%EB%A1%9C2%EA%B8%B8%205%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=h4b0VvoLFKM1,"브런치, 샌드위치"
19,レストラン,パッチズワーククラブ,패치스워크클럽 동묘,サンドイッチ,サンドイッチ・ブランチ,店内OK,あり,東廟（トンミョ）,동묘,鍾路区,서울특별시 종로구 지봉로8길 5 1층,37.5753051,127.0161145,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5753051%2C127.0161145,https://map.naver.com/p/search/%ED%8C%A8%EC%B9%98%EC%8A%A4%EC%9B%8C%ED%81%AC%ED%81%B4%EB%9F%BD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%A7%80%EB%B4%89%EB%A1%9C8%EA%B8%B8%205%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=SgS1jWVK1dJa,"샌드위치, 브런치"
20,レストラン,ワンズドク,왕스덕 신사역,中華,北京ダック,店内OK,なし,新沙（シンサ）,신사,江南区,서울특별시 강남구 도산대로 130 하림타워 지하 1층,37.5172609,127.0230251,4,9,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5172609%2C127.0230251,https://map.naver.com/p/search/%EC%99%95%EC%8A%A4%EB%8D%95%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8F%84%EC%82%B0%EB%8C%80%EB%A1%9C%20130%20%ED%95%98%EB%A6%BC%ED%83%80%EC%9B%8C%20%EC%A7%80%ED%95%98%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=iGdOlKB19vcj,베이징덕
21,レストラン,ヨンドンポチャナ,영동포차나 논현동,タイ料理,タイ屋台料理,店内OK,なし,論峴洞（ノニョンドン）,논현동,江南区,서울특별시 강남구 언주로148길 14 나동 2층 208호,37.5206302,127.0361626,4.5,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5206302%2C127.0361626,https://map.naver.com/p/search/%EC%98%81%EB%8F%99%ED%8F%AC%EC%B0%A8%EB%82%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%96%B8%EC%A3%BC%EB%A1%9C148%EA%B8%B8%2014%20%EB%82%98%EB%8F%99%202%EC%B8%B5%20208%ED%98%B8,https://www.diningcode.com/profile.php?rid=bgRRMy8S3FmW,태국음식
22,レストラン,ピザエクスプレス,피자익스프레스 가로수길,ピザ,ピザ,店内OK,なし,カロスキル,가로수길,江南区,서울특별시 강남구 압구정로10길 28 지하1층,37.5218105,127.0219646,4.2,13,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5218105%2C127.0219646,https://map.naver.com/p/search/%ED%94%BC%EC%9E%90%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%95%EA%B5%AC%EC%A0%95%EB%A1%9C10%EA%B8%B8%2028%20%EC%A7%80%ED%95%981%EC%B8%B5,https://www.diningcode.com/profile.php?rid=KscONk1BrLxf,"피자, 피자집"
23,レストラン,モスガーデン,모스가든 논현,ブランチ,ブランチ・洋食レストラン,店内OK,なし,論峴洞（ノニョンドン）,논현동,江南区,서울특별시 강남구 논현로139길 12,37.5166598,127.0283711,3.5,14,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5166598%2C127.0283711,https://map.naver.com/p/search/%EB%AA%A8%EC%8A%A4%EA%B0%80%EB%93%A0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C139%EA%B8%B8%2012,https://www.diningcode.com/profile.php?rid=z0qgKaBzG0aO,"브런치, 레스토랑"
24,レストラン,ドラボウル 新沙,도라보울 신사점,カレー,スープカレー,店内OK,なし,新沙（シンサ）,신사,江南区,서울특별시 강남구 논현로175길 101-5 1층,37.5223924,127.0213747,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5223924%2C127.0213747,https://map.naver.com/p/search/%EB%8F%84%EB%9D%BC%EB%B3%B4%EC%9A%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C175%EA%B8%B8%20101-5%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=vB5LFBRFURhW,"카레, 스프카레"
25,レストラン,モモコの台所,모모코 부엌 양재천,中央アジア料理,ウイグル料理・クリームマッコリ,店内OK,あり,良才川（ヤンジェチョン）,양재천,江南区,서울특별시 강남구 논현로24길 9 1층,37.4815788,127.0439018,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4815788%2C127.0439018,https://map.naver.com/p/search/%EB%AA%A8%EB%AA%A8%EC%BD%94%20%EB%B6%80%EC%97%8C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C24%EA%B8%B8%209%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=2Dpkb2jAorcT,"위구르요리, 크림막걸리"
26,レストラン,トラキ,트래키 양재역,ハンバーガー,自家製バーガー,店内OK,なし,道谷／良才,도곡·양재,江南区,서울 강남구 강남대로42길 23 101호,37.4855544,127.0359896,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4855544%2C127.0359896,https://map.naver.com/p/search/%ED%8A%B8%EB%9E%98%ED%82%A4%20%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%95%EB%82%A8%EB%8C%80%EB%A1%9C42%EA%B8%B8%2023%20101%ED%98%B8,https://www.diningcode.com/profile.php?rid=Vdgv5HSfSxkV,수제버거
27,レストラン,コミダQQQ,꼬미다 큐큐큐 양재,スペイン料理,タパス・スペイン料理,店内OK,なし,良才洞（ヤンジェドン）,양재동,瑞草区,"서울특별시 서초구 강남대로12길 41 101, 102호",37.4707666,127.0411127,4.6,9,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4707666%2C127.0411127,https://map.naver.com/p/search/%EA%BC%AC%EB%AF%B8%EB%8B%A4%20%ED%81%90%ED%81%90%ED%81%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EA%B0%95%EB%82%A8%EB%8C%80%EB%A1%9C12%EA%B8%B8%2041%20101%2C%20102%ED%98%B8,https://www.diningcode.com/profile.php?rid=ZUSjdg9qN63b,스페인음식
28,レストラン,オールウェイズオン,올웨이즈온 사당,ブランチ,ブランチプレート,店内OK,あり,方背洞（パンベドン）,방배동,瑞草区,서울특별시 서초구 방배천로8길 16-12 1층 카페,37.4800442,126.9833819,4.6,16,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4800442%2C126.9833819,https://map.naver.com/p/search/%EC%98%AC%EC%9B%A8%EC%9D%B4%EC%A6%88%EC%98%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EB%B0%A9%EB%B0%B0%EC%B2%9C%EB%A1%9C8%EA%B8%B8%2016-12%201%EC%B8%B5%20%EC%B9%B4%ED%8E%98,https://www.diningcode.com/profile.php?rid=LAHvWvzlPe12,브런치
29,レストラン,ドクターロビン 瑞来村店,닥터로빈 서래마을점,ブランチ,ヘルシーブランチ・かぼちゃスープ,店内OK,なし,瑞来村（ソレマウル）,서래마을,瑞草区,서울특별시 서초구 서래로6길 17 1층 닥터로빈 서래마을점,37.4978663,126.9993768,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4978663%2C126.9993768,https://map.naver.com/p/search/%EB%8B%A5%ED%84%B0%EB%A1%9C%EB%B9%88%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%84%9C%EB%9E%98%EB%A1%9C6%EA%B8%B8%2017%201%EC%B8%B5%20%EB%8B%A5%ED%84%B0%EB%A1%9C%EB%B9%88%20%EC%84%9C%EB%9E%98%EB%A7%88%EC%9D%84%EC%A0%90,https://www.diningcode.com/profile.php?rid=lyCYKMRCke8A,"브런치, 단호박스프"
30,レストラン,サランホ・マクフェ,사랑호 막회 내방역,韓国料理／刺身,ムルフェ（冷たい刺身スープ）・刺身,店内OK,なし,方背洞（パンベドン）,방배동,瑞草区,서울특별시 서초구 서초대로27길 33 지하1층,37.4894862,126.994078,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4894862%2C126.994078,https://map.naver.com/p/search/%EC%82%AC%EB%9E%91%ED%98%B8%20%EB%A7%89%ED%9A%8C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%84%9C%EC%B4%88%EB%8C%80%EB%A1%9C27%EA%B8%B8%2033%20%EC%A7%80%ED%95%981%EC%B8%B5,https://www.diningcode.com/profile.php?rid=5l728lVUVegc,"물회, 막회"
31,レストラン,エントランス,엔트런스 교대역,ブランチ,ブランチ・カフェ飯,店内OK,なし,教大（キョデ）,교대,瑞草区,서울특별시 서초구 사임당로19길 72-3,37.4924472,127.0190354,4,7,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.4924472%2C127.0190354,https://map.naver.com/p/search/%EC%97%94%ED%8A%B8%EB%9F%B0%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%82%AC%EC%9E%84%EB%8B%B9%EB%A1%9C19%EA%B8%B8%2072-3,https://www.diningcode.com/profile.php?rid=cI75AwMkDJoa,브런치
32,レストラン,チャゴバーガー,차고버거 방이동,ハンバーガー,自家製バーガー,店内OK,なし,芳荑洞（パンイドン）,방이동,松坡区,서울특별시 송파구 오금로11길 61-11 엘엠오피스텔 1층 차고버거,37.5155033,127.1140043,4.3,11,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5155033%2C127.1140043,https://map.naver.com/p/search/%EC%B0%A8%EA%B3%A0%EB%B2%84%EA%B1%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%98%A4%EA%B8%88%EB%A1%9C11%EA%B8%B8%2061-11%20%EC%97%98%EC%97%A0%EC%98%A4%ED%94%BC%EC%8A%A4%ED%85%94%201%EC%B8%B5%20%EC%B0%A8%EA%B3%A0%EB%B2%84%EA%B1%B0,https://www.diningcode.com/profile.php?rid=5QzZuKcFevat,수제버거
33,レストラン,ディフ,디프 송리단길,イタリアン,パスタ・洋食,店内OK,なし,松里団キル,송리단길,松坡区,서울특별시 송파구 백제고분로45길 15 3층,37.5095912,127.1096876,4.2,8,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5095912%2C127.1096876,https://map.naver.com/p/search/%EB%94%94%ED%94%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%B0%B1%EC%A0%9C%EA%B3%A0%EB%B6%84%EB%A1%9C45%EA%B8%B8%2015%203%EC%B8%B5,https://www.diningcode.com/profile.php?rid=QoUWsPjQO0Vf,"파스타, 레스토랑"
34,レストラン,ソンリダン醸造場,송리단양조장,韓国酒場,自家製マッコリと韓国つまみ,店内OK,なし,松里団キル,송리단길,松坡区,서울특별시 송파구 백제고분로45길 11 렉스프라자 2층,37.5094213,127.1100234,4.3,7,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5094213%2C127.1100234,https://map.naver.com/p/search/%EC%86%A1%EB%A6%AC%EB%8B%A8%EC%96%91%EC%A1%B0%EC%9E%A5%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%B0%B1%EC%A0%9C%EA%B3%A0%EB%B6%84%EB%A1%9C45%EA%B8%B8%2011%20%EB%A0%89%EC%8A%A4%ED%94%84%EB%9D%BC%EC%9E%90%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=weeWtjYdeZjl,"막걸리, 수제막걸리"
