No,種別(日),Type (EN),名称(日本語読み),Name (English),名称(ハングル),ペット可の根拠,広域自治体(日),Region (EN),市郡区(日),City/District (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,評価,口コミ数,Googleマップ,カテゴリ原文(韓)
12,ペンション,Pension,愛犬ペンションプレンジュ,Dog Pension Peurenjeu,애견펜션프렌즈,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 하남길 117-4,010-8901-8555,,http://www.ilovefriends.net,37.811767,128.880535,5.0,17,"https://www.google.com/maps/search/?api=1&query=37.811767,128.880535",펜션
13,ペンション,Pension,パインヒル愛犬ペンション,Painhil Dog Pension,파인힐애견펜션,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 연곡면 동해대로 4371-27,070-7764-7258,,http://pineheal.coja.kr/,37.869175,128.83178,5.0,14,"https://www.google.com/maps/search/?api=1&query=37.869175,128.83178",펜션
14,ペンション,Pension,ハッピーモン愛犬ペンション,Happy Mong Dog Pension,해피몽애견펜션,地図データに明記,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 성산면 삼왕길 171-13,010-5242-2290,,http://www.happymong.kr,37.756452,128.794367,4.2,5,"https://www.google.com/maps/search/?api=1&query=37.756452,128.794367",펜션
15,ペンション,Pension,コソン ナポルリハウス 愛犬同伴 ペンション,Goseong Napolli House Dog Friendly Pension,고성 나폴리하우스 애견동반 펜션,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 토성면 교암길 24,010-4380-0465,,https://napolihouse.kr/,38.287466,128.54788,4.2,18,"https://www.google.com/maps/search/?api=1&query=38.287466,128.54788",펜션
16,ペンション,Pension,ククファッコッヒャンギ,Gukhwakkothyanggi,국화꽃향기,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 죽왕면 자작도선사길 120-4,033-636-5679,,http://www.kimhain.com/,38.307287,128.541428,4.0,9,"https://www.google.com/maps/search/?api=1&query=38.307287,128.541428",펜션
17,ペンション,Pension,モンステイ,Meong Stay,멍스테이,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 죽왕면 백도해변길 78,010-2820-6530,,http://meongstay.kr,38.301842,128.545239,3.6,14,"https://www.google.com/maps/search/?api=1&query=38.301842,128.545239",펜션
18,ペンション,Pension,パダッガペンション,Badatga Pension,바닷가펜션,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 죽왕면 천학정길 65,010-7108-6935,,,38.293984,128.547452,4.5,18,"https://www.google.com/maps/search/?api=1&query=38.293984,128.547452",펜션
19,ペンション,Pension,パダッガペンション クリスマス,Badatga Pension Keuriseumaseu,바닷가펜션 크리스마스,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 토성면 천진해변길 62,010-4768-6788,,https://www.christmaspension.com/,38.260961,128.558678,4.9,53,"https://www.google.com/maps/search/?api=1&query=38.260961,128.558678",펜션
20,ペンション,Pension,ペルマレペンション,Belmare Pension,벨마레펜션,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 죽왕면 괘진길 44,010-5079-5510,,,38.295488,128.547461,5.0,8,"https://www.google.com/maps/search/?api=1&query=38.295488,128.547461",펜션
21,民宿,Minbak,ソラグィジョンウォン,Seoraguijeongwon,설악의정원,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 토성면 용원로 595,010-4310-2804,,http://seorakgarden.com,38.214577,128.517398,,15,"https://www.google.com/maps/search/?api=1&query=38.214577,128.517398",민박
22,ペンション,Pension,オジュペンション,Ojeu Pension,오즈펜션,地図データに明記,江原特別自治道,Gangwon,コソン郡,Goseong-gun,강원특별자치도 고성군 죽왕면 자작도선사길 72,010-2491-1438,,http://www.psoz.co.kr/,38.310538,128.542057,5.0,31,"https://www.google.com/maps/search/?api=1&query=38.310538,128.542057",펜션
23,ペンション,Pension,トンヘファントミンバクペンション,Donghaehwangtominbak Pension,동해황토민박펜션,地図データに明記,江原特別自治道,Gangwon,トンヘ市,Donghae-si,강원특별자치도 동해시 분토길 188-7,010-6372-6459,,http://www.동해펜션.한국,37.508721,129.095722,4.9,133,"https://www.google.com/maps/search/?api=1&query=37.508721,129.095722",펜션
24,ペンション,Pension,スターピチペンション,Star Bichi Pension,스타비치펜션,地図データに明記,江原特別自治道,Gangwon,トンヘ市,Donghae-si,강원특별자치도 동해시 망상길 39,1833-9306,,https://starbeachps.co.kr/,37.590596,129.088856,4.6,144,"https://www.google.com/maps/search/?api=1&query=37.590596,129.088856",펜션
25,民宿,Minbak,ファントフクペンション ックムィデファ,Hwangtoheuk Pension Kkumuidaehwa,황토흙펜션 꿈의대화,地図データに明記,江原特別自治道,Gangwon,トンヘ市,Donghae-si,강원특별자치도 동해시 느릅재길 326-12,010-8388-8874,,,37.559433,129.077911,5.0,20,"https://www.google.com/maps/search/?api=1&query=37.559433,129.077911",민박
26,ペンション,Pension,グリーンヒャン愛犬同伴ペンション,Green Hyang Dog Friendly Pension,그린향애견동반펜션,店名から判断,江原特別自治道,Gangwon,サムチョク市,Samcheok-si,강원특별자치도 삼척시 근덕면 용화안길 81-6,1833-9306,,http://greenhyang.kr/,37.2855,129.299655,5.0,11,"https://www.google.com/maps/search/?api=1&query=37.2855,129.299655",펜션
27,ペンション,Pension,シンナゲ愛犬ペンション,Sinnagae Dog Pension,신나개애견펜션,店名から判断,江原特別自治道,Gangwon,サムチョク市,Samcheok-si,강원특별자치도 삼척시 근덕면 덕산해안로 78,010-2989-9595,,https://joydog.co.kr,37.381881,129.243409,,19,"https://www.google.com/maps/search/?api=1&query=37.381881,129.243409",펜션
28,ペンション,Pension,ソクチョ ウォルド愛犬同伴ペンション,Sokcho Woldeu Dog Friendly Pension,속초 월드애견동반펜션,店名から判断,江原特別自治道,Gangwon,ソクチョ市,Sokcho-si,강원특별자치도 속초시 새마을13길 16,1833-9306,,https://속초월드펜션.com/,38.186246,128.604581,2.5,11,"https://www.google.com/maps/search/?api=1&query=38.186246,128.604581",펜션
29,ホテル,Hotel,ウォルドスカイホテル,Woldeuseukai Hotel,월드스카이호텔,地図データに明記,江原特別自治道,Gangwon,ソクチョ市,Sokcho-si,강원특별자치도 속초시 청초호반로 267,1670-0664,,https://www.world-sky.kr/,38.201128,128.58642,4.2,129,"https://www.google.com/maps/search/?api=1&query=38.201128,128.58642",호텔
30,ペンション,Pension,ポレストベルリペンション,Poreseuteubaelli Pension,포레스트밸리펜션,地図データに明記,江原特別自治道,Gangwon,ヤング郡,Yanggu-gun,강원특별자치도 양구군 방산면 성곡로 1562-8,010-8675-8161,,https://booking.naver.com/booking/3/bizes/546457,38.186069,127.951652,5.0,304,"https://www.google.com/maps/search/?api=1&query=38.186069,127.951652",펜션
31,ペンション,Pension,ポルラベオ 愛犬ペンション,Pollabeeo Dog Pension,폴라베어 애견펜션,地図データに明記,江原特別自治道,Gangwon,ヤング郡,Yanggu-gun,강원특별자치도 양구군 양구읍 박수근로365번길 29-23,010-2941-0603,,https://m.blog.naver.com/polar0603,38.104423,127.976997,3.0,1,"https://www.google.com/maps/search/?api=1&query=38.104423,127.976997",펜션
32,ペンション,Pension,カンイネハウス,Gangine House,강이네하우스,地図データに明記,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 서면 상평1길 17-2,010-2480-2333,,,38.066925,128.583353,,7,"https://www.google.com/maps/search/?api=1&query=38.066925,128.583353",펜션
33,ペンション,Pension,クランブルーグランピング&ペンション,Geurang Blue Glamping & Pension,그랑블루글램핑&펜션,地図データに明記,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 강현면 동해대로 3275,010-9968-8255,,http://www.grandblue.co.kr,38.131692,128.61927,3.0,66,"https://www.google.com/maps/search/?api=1&query=38.131692,128.61927",펜션
34,ペンション,Pension,ソクチョ愛犬ペンション ヤンヤンハッピープルレイス,Sokcho Dog Pension Yangyang Happy Peulleiseu,속초애견펜션 양양해피플레이스,地図データに明記,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 강현면 중복골길 11,010-2750-2749,,http://happyplacepension.co.kr,38.14124,128.57237,3.5,36,"https://www.google.com/maps/search/?api=1&query=38.14124,128.57237",펜션
35,ペンション,Pension,ヤンヤン クルレムドク 愛犬ペンション,Yangyang Geullaemdok Dog Pension,양양 글램독 애견펜션,店名から判断,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 현남면 화상천로 46,010-9397-2597,,https://site.onda.me/126265,37.927298,128.787812,4.4,84,"https://www.google.com/maps/search/?api=1&query=37.927298,128.787812",펜션
36,民宿,Minbak,ヤンヤンビンチジハウス,Yangyangbintiji House,양양빈티지하우스,地図データに明記,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 손양면 수산2길 16-11,010-9062-2315,,https://vintagehouseps.imweb.me,38.077973,128.67152,4.2,7,"https://www.google.com/maps/search/?api=1&query=38.077973,128.67152",민박
37,ペンション,Pension,ヨンペンション,Yong Pension,용펜션,地図データに明記,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 강현면 복골길269번길 22-23,010-3028-7086,,http://page.yapen.co.kr/45800,38.142731,128.557608,5.0,9,"https://www.google.com/maps/search/?api=1&query=38.142731,128.557608",펜션
38,ペンション,Pension,ヘットヌンチャンムン愛犬同伴オションビュペンション,Haetteuneunchangmun Dog Friendly Osyeonbyu Pension,해뜨는창문애견동반오션뷰펜션,店名から判断,江原特別自治道,Gangwon,ヤンヤン郡,Yangyang-gun,강원특별자치도 양양군 강현면 동해대로 3359,1833-9306,,http://sunrisewindow.kr,38.137971,128.615726,2.6,29,"https://www.google.com/maps/search/?api=1&query=38.137971,128.615726",펜션
39,ペンション,Pension,サラムグァジャヨンペンション,Saramgwajayeon Pension,사람과자연펜션,地図データに明記,江原特別自治道,Gangwon,ヨンウォル郡,Yeongwol-gun,강원특별자치도 영월군 주천면 평창강로 67-1,070-4364-9428,,https://hnpension.kr,37.294029,128.333323,3.1,8,"https://www.google.com/maps/search/?api=1&query=37.294029,128.333323",펜션
40,ペンション,Pension,ウォンジュ クィレ630 愛犬プールヴィラ,Wonju Gwirae 630 Dog Pool Villa,원주 귀래630 애견풀빌라,店名から判断,江原特別自治道,Gangwon,ウォンジュ市,Wonju-si,강원특별자치도 원주시 귀래면 지둔길 123,010-8792-9188,,https://cafe.naver.com/girae630,37.162116,127.838641,5.0,43,"https://www.google.com/maps/search/?api=1&query=37.162116,127.838641",펜션
41,ペンション,Pension,チョルォン ケレンシアペンション,Cheorwon Kerensia Pension,철원 케렌시아펜션,地図データに明記,江原特別自治道,Gangwon,チョルォン郡,Cheorwon-gun,강원특별자치도 철원군 동송읍 창동로 2282,010-5383-4466,,http://www.qrca.co.kr,38.182899,127.276403,4.0,32,"https://www.google.com/maps/search/?api=1&query=38.182899,127.276403",펜션
42,ペンション,Pension,トグエンステイ,Dogeuaen Stay,도그앤스테이,店名から判断,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 남산면 갯골길 10-13,1833-9306,,http://dogandstay.com/,37.801812,127.636355,2.5,16,"https://www.google.com/maps/search/?api=1&query=37.801812,127.636355",펜션
43,ペンション,Pension,スハニェ カムジョンニジョム,Suhanye Gamjeongnijeom,수한예 감정리점,地図データに明記,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 동면 연산골길 230,010-8879-4358,,https://naver.me/5UrCyQr9,37.887096,127.792961,,69,"https://www.google.com/maps/search/?api=1&query=37.887096,127.792961",펜션
44,ペンション,Pension,スハニェ チャンハンニジョム,Suhanye Janghangnijeom,수한예 장학리점,地図データに明記,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 동면 하일길 197,0507-1329-4358,https://www.instagram.com/s.h.y123/?hl=ko,,37.905013,127.753678,5.0,42,"https://www.google.com/maps/search/?api=1&query=37.905013,127.753678",펜션
45,ペンション,Pension,ステイルビ,Stay Rubi,스테이루비,地図データに明記,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 동내면 거두길 265-67,010-6365-7671,,https://m.blog.naver.com/claudiaeo,37.862127,127.784348,5.0,44,"https://www.google.com/maps/search/?api=1&query=37.862127,127.784348",펜션
46,ペンション,Pension,チュンチョン愛犬ペンション ッコッギルマン コッゲ,Chuncheon Dog Pension Kkotgilman Geotgae,춘천애견펜션 꽃길만 걷개,地図データに明記,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 남면 한덕발산길 61,010-4687-2097,,http://flowerdogss.com,37.680315,127.613995,5.0,7,"https://www.google.com/maps/search/?api=1&query=37.680315,127.613995",펜션
47,ペンション,Pension,トルステイ,Toreu Stay,토르스테이,地図データに明記,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 신북읍 문정3길 46-5,0502-5552-9946,,https://blog.naver.com/thor__stay,37.936049,127.760301,,38,"https://www.google.com/maps/search/?api=1&query=37.936049,127.760301",펜션
48,ペンション,Pension,ハッピースデイ愛犬ペンション,Happy Seudei Dog Pension,해피스데이애견펜션,地図データに明記,江原特別自治道,Gangwon,チュンチョン市,Chuncheon-si,강원특별자치도 춘천시 남산면 방하로 688-16,010-9080-8363,,https://happysday-pet.kr/,37.791504,127.532259,5.0,212,"https://www.google.com/maps/search/?api=1&query=37.791504,127.532259",펜션
49,ペンション,Pension,トグミルリ,Dogeumilli,도그밀리,地図データに明記,江原特別自治道,Gangwon,ピョンチャン郡,Pyeongchang-gun,강원특별자치도 평창군 방림면 감동지길 100,010-9010-0660,,http://dogmily.co.kr,37.47814,128.272949,5.0,8,"https://www.google.com/maps/search/?api=1&query=37.47814,128.272949",펜션
50,ペンション,Pension,ピョンチャン プルランダス 愛犬ペンション,Pyeongchang Peullandaseu Dog Pension,평창 플란다스 애견펜션,地図データに明記,江原特別自治道,Gangwon,ピョンチャン郡,Pyeongchang-gun,강원특별자치도 평창군 봉평면 흥정계곡길 394,010-2321-2024,,http://fdpension.kr/,37.642544,128.33187,3.0,7,"https://www.google.com/maps/search/?api=1&query=37.642544,128.33187",펜션
51,ペンション,Pension,ノナウリ,Neonauri,너나우리,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 한서로 1152,010-8994-0316,,http://www.unitogether.co.kr,37.654582,127.612711,,5,"https://www.google.com/maps/search/?api=1&query=37.654582,127.612711",펜션
52,ペンション,Pension,テンオルラ,Daengolla,댕올라,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 남면 명동길35번길 71,010-808-2586,https://instagram.com/dang_hola,,37.630942,127.758807,5.0,18,"https://www.google.com/maps/search/?api=1&query=37.630942,127.758807",펜션
53,ペンション,Pension,モンバク フクジプサランペンション,Meongbak Heukjipsarang Pension,멍박 흙집사랑펜션,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 북방면 성동로 1480,033-433-0099,,http://blog.naver.com/mungvac,37.817419,127.846972,1.0,0,"https://www.google.com/maps/search/?api=1&query=37.817419,127.846972",펜션
54,ペンション,Pension,パンスヒルリゾート,Banseuhil Resort,반스힐리조트,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 상귀량길 193,010-3300-7658,,http://www.barnshillresort.com/,37.655774,127.648369,4.0,546,"https://www.google.com/maps/search/?api=1&query=37.655774,127.648369",펜션
55,ホテル,Hotel,ソノペックラブエンリゾート ピバルヂパーク,Sonopet Club Aen Resort Bibaldi Park,소노펫클럽앤리조트 비발디파크,店名から判断,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 한치골길 262,1588-4888,,https://www.sonohotelsresorts.com/daemyung.vp.sonopet.pet_randing.ds/dmparse.dm,37.648199,127.683086,4.0,687,"https://www.google.com/maps/search/?api=1&query=37.648199,127.683086",소노호텔앤리조트
56,ペンション,Pension,ッスリウェイペンション,Sseuriwei Pension,쓰리웨이펜션,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 홍천읍 높은터로 330,010-3560-7778,,http://쓰리웨이펜션.urr.kr,37.639984,127.850791,,87,"https://www.google.com/maps/search/?api=1&query=37.639984,127.850791",펜션
57,ペンション,Pension,エルペロ 愛犬リゾート&ペンション,Elpero Dog Resort & Pension,엘페로 애견리조트&펜션,店名から判断,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 한서로 2019,0507-1404-2032,,http://elperro.co.kr,37.624842,127.663247,5.0,33,"https://www.google.com/maps/search/?api=1&query=37.624842,127.663247",펜션
58,ペンション,Pension,オユウォン,Oyuwon,오유원,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 한치골길 83-5,010-8745-4775,https://instagram.com/ouwon_official,,37.62958,127.668268,5.0,63,"https://www.google.com/maps/search/?api=1&query=37.62958,127.668268",펜션
59,ペンション,Pension,ユドクピア,Yudokpia,유독피아,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 내촌면 문현동길 129-13,010-6254-6842,,https://udogpia.imweb.me/Location,37.801523,128.096014,4.1,232,"https://www.google.com/maps/search/?api=1&query=37.801523,128.096014",펜션
60,ペンション,Pension,ペンションアイリス,Pension Airiseu,펜션아이리스,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 굴업솔골길 60-9,010-9043-8977,,http://www.pensioniris.co.kr,37.621558,127.675165,5.0,19,"https://www.google.com/maps/search/?api=1&query=37.621558,127.675165",펜션
61,ペンション,Pension,ペッチウム愛犬ペンション,Pettium Dog Pension,펫티움애견펜션,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 한서로 2344-14,010-2390-6336,,http://www.petium.co.kr/,37.609056,127.68833,5.0,42,"https://www.google.com/maps/search/?api=1&query=37.609056,127.68833",펜션
62,ペンション,Pension,プルステイステイペッ ホンチョン,Pul Stay Stay Pet Hongcheon,풀스테이스테이펫 홍천,店名から判断,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 화촌면 답연밭길 5,010-4335-5058,,https://staypethc.com/hongchun,37.738023,128.027861,3.1,334,"https://www.google.com/maps/search/?api=1&query=37.738023,128.027861",펜션
63,ペンション,Pension,ホンチョナデルペンション,Hongcheonadel Pension,홍천아델펜션,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 굴업솔골길 60,033-435-7799,,http://www.adelpension.com,37.621457,127.674412,4.9,14,"https://www.google.com/maps/search/?api=1&query=37.621457,127.674412",펜션
64,宿泊施設,Accommodation,ヒルリオンスソンマウル,Hillieonseuseonmaeul,힐리언스선마을,地図データに明記,江原特別自治道,Gangwon,ホンチョン郡,Hongcheon-gun,강원특별자치도 홍천군 서면 종자산길 122,1588-9983,,https://www.healience.co.kr/,37.651529,127.630379,3.7,402,"https://www.google.com/maps/search/?api=1&query=37.651529,127.630379",숙박
65,ペンション,Pension,トグマシル ケニスメイジョ,Dogeumasil Keniseumeijeo,도그마실 케니스메이저,地図データに明記,江原特別自治道,Gangwon,フェンソン郡,Hoengseong-gun,강원특별자치도 횡성군 횡성읍 송전로 77,0507-1341-8352,,https://www.dogmasil.com,37.534123,128.021397,,52,"https://www.google.com/maps/search/?api=1&query=37.534123,128.021397",펜션
66,ペンション,Pension,ウィドペッヴィレッジ,Wideupet Village,위드펫빌리지,店名から判断,江原特別自治道,Gangwon,フェンソン郡,Hoengseong-gun,강원특별자치도 횡성군 서원면 월송석화로 183-23,010-5069-0782,,https://withpetvillage.co.kr/,37.457227,127.807031,5.0,13,"https://www.google.com/maps/search/?api=1&query=37.457227,127.807031",펜션
67,ペンション,Pension,ペット704,Pet 704,펫704,地図データに明記,江原特別自治道,Gangwon,フェンソン郡,Hoengseong-gun,강원특별자치도 횡성군 서원면 서원서로 704,010-4402-8702,,http://pet704.co.kr,37.513191,127.800844,5.0,31,"https://www.google.com/maps/search/?api=1&query=37.513191,127.800844",펜션
68,ペンション,Pension,フェンソン モスィメルロウ プールヴィラ伴侶犬 同伴カヌン,Hoengseong Meoswimellou Pool Villa Dog Friendly Ganeung,횡성 머쉬멜로우 풀빌라반려견 동반가능,地図データに明記,江原特別自治道,Gangwon,フェンソン郡,Hoengseong-gun,강원특별자치도 횡성군 둔내면 고원로425번길 9-4,010-2248-9587,,http://www.mm-pension.com/,37.497608,128.242676,3.0,2,"https://www.google.com/maps/search/?api=1&query=37.497608,128.242676",펜션
69,ペンション,Pension,カボジャ愛犬プールヴィラペンション,Gaboja Dog Pool Villa Pension,가보자애견풀빌라펜션,店名から判断,京畿道,Gyeonggi-do,カピョン郡,Gapyeong-gun,경기 가평군 상면 서대길 55-6,1833-9306,,,37.776665,127.380675,4.8,30,"https://www.google.com/maps/search/?api=1&query=37.776665,127.380675",펜션
70,ペンション,Pension,カピョン テンデンイ愛犬ペンション シルボ,Gapyeong Daengdaengi Dog Pension Silbeo,가평 댕댕이애견펜션 실버,店名から判断,京畿道,Gyeonggi-do,カピョン郡,Gapyeong-gun,경기 가평군 가평읍 복장포길 118-5,1833-9306,,https://dangdangi.kr/,37.739406,127.50191,,64,"https://www.google.com/maps/search/?api=1&query=37.739406,127.50191",펜션
71,ペンション,Pension,カピョン チンドンデン愛犬スパプールヴィラ,Gapyeong Dingdongdaeng Dog Seupa Pool Villa,가평 딩동댕애견스파풀빌라,店名から判断,京畿道,Gyeonggi-do,カピョン郡,Gapyeong-gun,경기 가평군 상면 임초밤안골로 247-14,010-3331-0123,,,37.749882,127.365186,3.8,293,"https://www.google.com/maps/search/?api=1&query=37.749882,127.365186",펜션
72,ペンション,Pension,カピョン ップッチドク愛犬ペンション,Gapyeong Ppeuttidok Dog Pension,가평 쁘띠독애견펜션,店名から判断,京畿道,Gyeonggi-do,カピョン郡,Gapyeong-gun,경기 가평군 설악면 유명로 2526,010-5505-4452,,http://www.petitedog.kr/,37.719289,127.432772,4.6,35,"https://www.google.com/maps/search/?api=1&query=37.719289,127.432772",펜션
73,ペンション,Pension,カピョン ペンミルリ愛犬ペンション,Gapyeong Penmilli Dog Pension,가평 펫밀리애견펜션,店名から判断,京畿道,Gyeonggi-do,カピョン郡,Gapyeong-gun,경기 가평군 가평읍 잎너비길 35-237,010-3361-7008,,http://petmillieps.com,37.85063,127.511612,,25,"https://www.google.com/maps/search/?api=1&query=37.85063,127.511612",펜션
