No,種別/Kind,店名(日本語読み),Name (English),店名(ハングル),ジャンル(日),Cuisine (EN),料理(日),Dishes (EN),犬の同伴,テラス席/Terrace,最寄り駅(日),Nearest station (EN),駅まで(m),広域自治体(日),Region (EN),市郡区(日),City/District (EN),エリア(日),Area (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,位置精度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
21,ごはん/Meal,ククヒエンコプヒ,Kukhiaenkeophi,쿡히앤컵히,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,ノンヒョン（論峴）,Nonhyeon,210,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 학동로3길 49,,,,37.512782,127.022198,通り単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.512782,127.022198",https://map.naver.com/p/search/쿡히앤컵히%20서울특별시%20강남구%20학동로3길%2049,,
22,カフェ/Cafe,クレスタウン 狎鴎亭,Keure Star Un Apgujeongjeom,크레스타운 압구정점,カフェ,Cafe,コーヒー・デザート,"Cafe, Coffee",店内OK / Indoors OK,なし/No,アプグジョンロデオ（狎鴎亭）,Apgujeong Rodeo,340,ソウル特別市,Seoul,江南区,Gangnam-gu,狎鴎亭（アプグジョン）,Apgujeong,"서울특별시 강남구 압구정로46길 5-2 1층 104호, 105호",02-511-3323,https://www.instagram.com/crestowncoffee_official,,37.527965,127.036835,店舗単位,4.7,2,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.527965,127.036835","https://map.naver.com/p/search/크레스타운%20압구정점%20서울특별시%20강남구%20압구정로46길%205-2%201층%20104호,%20105호",https://www.diningcode.com/profile.php?rid=wqXFVxMbk9iq,"카페, 커피"
23,ごはん/Meal,トラキ,TRAKII,트래키 양재역,ハンバーガー,Burger,自家製バーガー,Craft Burger,店内OK / Indoors OK,なし/No,ヤンジェ,Yangjae,210,ソウル特別市,Seoul,江南区,Gangnam-gu,道谷／良才（トゴク·ヤンジェ）,Dogok·Yangjae,서울 강남구 강남대로42길 23 101호,070-8857-4000,https://www.instagram.com/trakii.official,,37.485554,127.03599,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.485554,127.03599",https://map.naver.com/p/search/트래키%20양재역%20서울%20강남구%20강남대로42길%2023%20101호,https://www.diningcode.com/profile.php?rid=Vdgv5HSfSxkV,수제버거
24,ごはん/Meal,チチグリル アプグジョン,Titigeuril Apgujeong,티티그릴 압구정,タイ料理,Thai,タイ料理,Thai,店内OK / Indoors OK,あり/Yes,アプグジョン（狎鴎亭）,Apgujeong,550,ソウル特別市,Seoul,江南区,Gangnam-gu,シンサドン,Sinsa-dong,서울특별시 강남구 논현로152길 37 1층,010-9868-5130,https://www.instagram.com/ttgrill_,,37.521741,127.031154,店舗単位,5,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.521741,127.031154",https://map.naver.com/p/search/티티그릴%20압구정%20서울특별시%20강남구%20논현로152길%2037%201층,https://www.diningcode.com/profile.php?rid=BFNtmhjHH199,태국음식
25,カフェ/Cafe,ペッタリウム チョンダムジョム,Pettarium Cheongdamjeom,펫타리움 청담점,ドッグカフェ,Dog Cafe,,,店内OK / Indoors OK,なし/No,チョンダム（清潭）,Cheongdam,490,ソウル特別市,Seoul,江南区,Gangnam-gu,チョンダムドン,Cheongdam-dong,서울특별시 강남구 영동대로 725,02-413-1700,https://www.instagram.com/petarium_official1,,37.522478,127.055156,建物単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.522478,127.055156",https://map.naver.com/p/search/펫타리움%20청담점%20서울특별시%20강남구%20영동대로%20725,,
26,カフェ/Cafe,プルロレッフラワーカフェ ヤンジェチョン,Peulloret Flower Cafe Yangjaecheon,플로렛플라워카페 양재천,ジェラート・かき氷,Gelato & Ice,カフェ・かき氷,"Cafe, Bingsu",店内OK / Indoors OK,あり/Yes,メボン,Maebong,520,ソウル特別市,Seoul,江南区,Gangnam-gu,トゴクドン,Dogok-dong,서울특별시 강남구 양재천로 185 다보빌딩 1층,02-575-0725,https://www.instagram.com/floretflower.cafe/,,37.482429,127.046084,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.482429,127.046084",https://map.naver.com/p/search/플로렛플라워카페%20양재천%20서울특별시%20강남구%20양재천로%20185%20다보빌딩%201층,https://www.diningcode.com/profile.php?rid=dPQtyCB66cvV,"카페, 빙수"
27,ごはん/Meal,ピザサマンダ カンナムグチョンジョム,Pizza Samanda Gangnamgucheongjeom,피자사만다 강남구청점,ピザ,Pizza,ピザ・チーズバーガー,"Pizza, Cheeseburger",店内OK / Indoors OK,なし/No,カンナムグチョン（江南区庁）,Gangnam-gu Office,250,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 선릉로125길 5-6 1층,,,,37.514595,127.041547,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.514595,127.041547",https://map.naver.com/p/search/피자사만다%20강남구청점%20서울특별시%20강남구%20선릉로125길%205-6%201층,https://www.diningcode.com/profile.php?rid=roH5vGt0yAMy,"피자, 치즈버거"
28,ごはん/Meal,ピザエクスプレス,Pizza Express Garosugil,피자익스프레스 가로수길,ピザ,Pizza,ピザ,"Pizza, Pizzeria",店内OK / Indoors OK,なし/No,シンサ（新沙）,Sinsa,670,ソウル特別市,Seoul,江南区,Gangnam-gu,カロスギル,Garosu-gil,서울특별시 강남구 압구정로10길 28 지하1층,070-5222-1910,https://instagram.com/pizzaexpress_kr,,37.521811,127.021965,店舗単位,4.2,13,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.521811,127.021965",https://map.naver.com/p/search/피자익스프레스%20가로수길%20서울특별시%20강남구%20압구정로10길%2028%20지하1층,https://www.diningcode.com/profile.php?rid=KscONk1BrLxf,"피자, 피자집"
29,カフェ/Cafe,ハイコーヒー,High Coffee,하이커피,コーヒー専門,Specialty Coffee,,,店内OK / Indoors OK,なし/No,ヨクサム（駅三）,Yeoksam,920,ソウル特別市,Seoul,江南区,Gangnam-gu,ヨクサムドン,Yeoksam-dong,서울특별시 강남구 도곡로21길 15,,,,37.492703,127.038726,建物単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.492703,127.038726",https://map.naver.com/p/search/하이커피%20서울특별시%20강남구%20도곡로21길%2015,,
30,カフェ/Cafe,ヘモスミス コーヒー,Hemeoseumiseu Coffee,헤머스미스 커피,コーヒー専門,Specialty Coffee,,,店内OK / Indoors OK,なし/No,オンジュ（彦州）,Eonju,120,ソウル特別市,Seoul,江南区,Gangnam-gu,ヨクサムドン,Yeoksam-dong,서울특별시 강남구 봉은사로26길 25,,,,37.50645,127.033098,通り単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.50645,127.033098",https://map.naver.com/p/search/헤머스미스%20커피%20서울특별시%20강남구%20봉은사로26길%2025,,
31,カフェ/Cafe,ッコメ131 アムサヨク,Kkome 131 Amsayeok,꼬메131 암사역,スイーツ,Sweets,カフェ・デザート,"Cafe, Dessert",店内OK / Indoors OK,なし/No,アムサ（岩寺）,Amsa,190,ソウル特別市,Seoul,江東区,Gangdong-gu,アムサドン,Amsa-dong,서울특별시 강동구 올림픽로91길 30 힐스테이트 상가 1층,010-9929-0540,https://www.instagram.com/comme.131,,37.549356,127.125613,店舗単位,4.3,4,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.549356,127.125613",https://map.naver.com/p/search/꼬메131%20암사역%20서울특별시%20강동구%20올림픽로91길%2030%20힐스테이트%20상가%201층,https://www.diningcode.com/profile.php?rid=PIHg7FBD4bxU,"카페, 디저트"
32,カフェ/Cafe,ノスチ サンイルジョム,Noseuti Sangiljeom,노스티 상일점,茶カフェ,Tea House,カフェ・ブレンドティー,"Cafe, Blended Tea",店内OK / Indoors OK,なし/No,カンイル,Gangil,900,ソウル特別市,Seoul,江東区,Gangdong-gu,サンイルドン,Sangil-dong,서울특별시 강동구 상일로7길 11 1층,02-6949-2075,https://www.instagram.com/nosty.official/,,37.549873,127.172263,店舗単位,4,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.549873,127.172263",https://map.naver.com/p/search/노스티%20상일점%20서울특별시%20강동구%20상일로7길%2011%201층,https://www.diningcode.com/profile.php?rid=8kY38fMwizAB,"카페, 블렌딩티"
33,カフェ/Cafe,レインウェイコーヒー ソンネ,Rain Wei Coffee Seongnae,레인웨이커피 성내,コーヒー専門,Specialty Coffee,カフェ・フォカッチャ,"Cafe, Focaccia",店内OK / Indoors OK,なし/No,カンドン（江東）,Gangdong,470,ソウル特別市,Seoul,江東区,Gangdong-gu,ソンネドン,Seongnae-dong,서울특별시 강동구 천호대로170길 87 103호 레인웨이커피,,,,37.531631,127.131786,店舗単位,3.6,2,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.531631,127.131786",https://map.naver.com/p/search/레인웨이커피%20성내%20서울특별시%20강동구%20천호대로170길%2087%20103호%20레인웨이커피,https://www.diningcode.com/profile.php?rid=gFUfYBbhIaxa,"카페, 포카치아"
34,ごはん/Meal,リクコーヒークラブ アムサ,Rikeu Coffee Club Amsa,리크커피클럽 암사,サンドイッチ・サラダ,Sandwich & Salad,カフェ・サンドイッチ,"Cafe, Sandwich",店内OK / Indoors OK,なし/No,アムサ（岩寺）,Amsa,300,ソウル特別市,Seoul,江東区,Gangdong-gu,アムサドン,Amsa-dong,서울특별시 강동구 암사길 9 1층 101호,,https://www.instagram.com/likcoffeeclub,,37.551139,127.13063,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.551139,127.13063",https://map.naver.com/p/search/리크커피클럽%20암사%20서울특별시%20강동구%20암사길%209%201층%20101호,https://www.diningcode.com/profile.php?rid=cfcQLsVOlA0j,"카페, 샌드위치"
35,カフェ/Cafe,マシッスコーヒー チョンホ,massiss,마시쓰커피 천호,スイーツ,Sweets,カフェ・クッキー,"Cafe, Cookie",店内OK / Indoors OK,なし/No,チョンホ（千戸）,Cheonho,220,ソウル特別市,Seoul,江東区,Gangdong-gu,チョンホドン,Cheonho-dong,서울특별시 강동구 천호대로151길 31 1층,,https://www.instagram.com/massiss_coffee/,,37.540505,127.123201,店舗単位,4,3,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.540505,127.123201",https://map.naver.com/p/search/마시쓰커피%20천호%20서울특별시%20강동구%20천호대로151길%2031%201층,https://www.diningcode.com/profile.php?rid=1Ajv96roIsen,"카페, 쿠키"
36,カフェ/Cafe,パビル クブンダリヨク,Babil,바빌 굽은다리역,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,なし/No,クブンダリ,Gubeundari,310,ソウル特別市,Seoul,江東区,Gangdong-gu,チョンホドン,Cheonho-dong,서울특별시 강동구 양재대로125길 47 1층,,https://instagram.com/babil_coffee_dessert,,37.544688,127.139668,店舗単位,4.4,3,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.544688,127.139668",https://map.naver.com/p/search/바빌%20굽은다리역%20서울특별시%20강동구%20양재대로125길%2047%201층,https://www.diningcode.com/profile.php?rid=n4lEHPKMztdu,"카페, 커피"
37,カフェ/Cafe,ポトオン チョンホ,Beoteoon Cheonho,버터온 천호,スイーツ,Sweets,デザート・カフェ,"Dessert, Cafe",店内OK / Indoors OK,なし/No,アムサ（岩寺）,Amsa,520,ソウル特別市,Seoul,江東区,Gangdong-gu,チョンホドン,Cheonho-dong,서울특별시 강동구 천중로 39 1층 4호,0507-1309-9352,https://www.instagram.com/butteron_,,37.545493,127.12649,店舗単位,5,1,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.545493,127.12649",https://map.naver.com/p/search/버터온%20천호%20서울특별시%20강동구%20천중로%2039%201층%204호,https://www.diningcode.com/profile.php?rid=5xTaQaQfXwxf,"디저트, 카페"
38,カフェ/Cafe,オピロプ ソンネドン,Eopireop Seongnaedong,어피럽 성내동,ジェラート・かき氷,Gelato & Ice,かき氷・マンゴーかき氷,"Bingsu, Mango Bingsu",店内OK / Indoors OK,なし/No,トゥンチョンドン（遁村洞）,Dunchon-dong,600,ソウル特別市,Seoul,江東区,Gangdong-gu,ソンネドン,Seongnae-dong,서울특별시 강동구 성안로 25 1층,0507-1314-8679,https://www.instagram.com/apieceof.love?igsh=MWRrNm0yemQwd2d2&utm_source=qr,,37.526149,127.129722,店舗単位,5,1,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.526149,127.129722",https://map.naver.com/p/search/어피럽%20성내동%20서울특별시%20강동구%20성안로%2025%201층,https://www.diningcode.com/profile.php?rid=Xu6sx6IZgxln,"빙수, 망고빙수"
