No,種別(日),Type (EN),名称(日本語読み),Name (English),名称(ハングル),24時間,市郡区(日),District (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,評価,口コミ数,Googleマップ,カテゴリ原文(韓)
27,動物病院,Veterinary clinic,テチス動物病院,Daechisu Animal Hospital,대치수동물병원,,江南区,Gangnam-gu,서울 강남구 삼성로 212,,,,37.495228,127.064439,,1,"https://www.google.com/maps/search/?api=1&query=37.495228,127.064439",동물병원
28,動物病院,Veterinary clinic,トゴクジョンハプ動物病院,Dogokjonghap Animal Hospital,도곡종합동물병원,,江南区,Gangnam-gu,서울 강남구 언주로 314,02-554-8875,,,37.495903,127.046274,3.2,1,"https://www.google.com/maps/search/?api=1&query=37.495903,127.046274",동물병원
29,動物病院,Veterinary clinic,トゴクチユ動物病院,Dogokchiyu Animal Hospital,도곡치유동물병원,,江南区,Gangnam-gu,서울 강남구 도곡로 189,02-508-7678,https://www.instagram.com/chiuamc,,37.492419,127.04003,,157,"https://www.google.com/maps/search/?api=1&query=37.492419,127.04003",동물병원
30,動物病院,Veterinary clinic,トキンオバウッ 動物病院,Dokingeobaut Animal Hospital,도킹어바웃 동물병원,,江南区,Gangnam-gu,서울 강남구 논현로 18,0502-5553-3086,,https://blog.naver.com/dogkingah,37.473014,127.049864,5.0,25,"https://www.google.com/maps/search/?api=1&query=37.473014,127.049864",동물병원
31,動物病院,Veterinary clinic,動物病院トンヘン,Animal Hospital Donghaeng,동물병원동행,,江南区,Gangnam-gu,서울 강남구 남부순환로363길 16,02-573-1233,,https://blog.naver.com/donghaengamc,37.486546,127.038117,,77,"https://www.google.com/maps/search/?api=1&query=37.486546,127.038117",동물병원
32,動物病院,Veterinary clinic,動物チグァ病院 ケオデン,Animal Chigwa Clinic Keeoden,동물치과병원 케어덴,,江南区,Gangnam-gu,서울 강남구 언주로 813,02-540-7522,,,37.522994,127.032878,5.0,214,"https://www.google.com/maps/search/?api=1&query=37.522994,127.032878",동물병원
33,動物病院,Veterinary clinic,動物チグァ病院メイ,Animal Chigwa Clinic Mei,동물치과병원메이,,江南区,Gangnam-gu,서울 강남구 테헤란로8길 46,02-797-4408,,https://may-dentalvet.co.kr,37.495875,127.032301,5.0,322,"https://www.google.com/maps/search/?api=1&query=37.495875,127.032301",동물병원
34,動物病院,Veterinary clinic,トリム動物病院,Deurim Animal Hospital,드림동물병원,,江南区,Gangnam-gu,서울 강남구 역삼로 233,02-508-7583,,,37.497424,127.042023,5.0,6,"https://www.google.com/maps/search/?api=1&query=37.497424,127.042023",동물병원
35,動物病院,Veterinary clinic,チア動物病院,Dia Animal Hospital,디아동물병원,,江南区,Gangnam-gu,서울 강남구 선릉로4길 13,02-572-2772,,,37.482748,127.062222,,3,"https://www.google.com/maps/search/?api=1&query=37.482748,127.062222",동물병원
36,動物病院,Veterinary clinic,チアク動物病院,Diakeu Animal Hospital,디아크동물병원,,江南区,Gangnam-gu,서울 강남구 논현로149길 35,,,,37.517604,127.025648,,0,"https://www.google.com/maps/search/?api=1&query=37.517604,127.025648",동물병원
37,動物病院,Veterinary clinic,ラピュクルレル 動物ピブクルリニク,Rapyukeullereu Animal Pibukeullinik,라퓨클레르 동물피부클리닉,,江南区,Gangnam-gu,서울 강남구 압구정로 445,02-3442-0302,,,37.526539,127.046109,,223,"https://www.google.com/maps/search/?api=1&query=37.526539,127.046109",동물병원
38,動物病院,Veterinary clinic,レイ動物医療センター,Raei Animal Medical Center,래이동물의료센터,,江南区,Gangnam-gu,서울 강남구 남부순환로 2911-1,02-556-7588,,,37.492702,127.057706,,1,"https://www.google.com/maps/search/?api=1&query=37.492702,127.057706",동물병원
39,動物病院,Veterinary clinic,リヂア動物病院,Ridia Animal Hospital,리디아동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로46길 6,0502-5552-0781,,https://blog.naver.com/lydiavet,37.528269,127.036578,5.0,72,"https://www.google.com/maps/search/?api=1&query=37.528269,127.036578",동물병원
40,動物病院,Veterinary clinic,マドス動物病院,Madeoseu Animal Hospital,마더스동물병원,,江南区,Gangnam-gu,서울 강남구 헌릉로 569,02-445-7579,,,37.465678,127.101119,4.7,1,"https://www.google.com/maps/search/?api=1&query=37.465678,127.101119",동물병원
41,動物病院,Veterinary clinic,メイト動物病院,Meiteu Animal Hospital,메이트동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로 332,02-540-6303,,,37.528205,127.037822,3.8,2,"https://www.google.com/maps/search/?api=1&query=37.528205,127.037822",동물병원
42,動物病院,Veterinary clinic,ミル動物医療センター,Mireu Animal Medical Center,미르동물의료센터,,江南区,Gangnam-gu,서울 강남구 선릉로 48,02-577-7533,,,37.483606,127.059738,5.0,36,"https://www.google.com/maps/search/?api=1&query=37.483606,127.059738",동물병원
43,動物病院,Veterinary clinic,パルリョダム動物病院,Ballyeodam Animal Hospital,반려담동물병원,,江南区,Gangnam-gu,서울 강남구 봉은사로44길 61,02-6207-0772,,https://pf.kakao.com/_uzBrn,37.505763,127.042406,5.0,134,"https://www.google.com/maps/search/?api=1&query=37.505763,127.042406",동물병원
44,動物病院,Veterinary clinic,ペクサン動物病院,Baeksan Animal Hospital,백산동물병원,,江南区,Gangnam-gu,서울 강남구 논현로86길 22,02-511-6364,,https://www.thecatclinic.co.kr/,37.500031,127.039355,,0,"https://www.google.com/maps/search/?api=1&query=37.500031,127.039355",동물병원
45,動物病院,Veterinary clinic,ポムサラン動物病院,Bomsarang Animal Hospital,봄사랑동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로29길 68,02-6951-4327,,http://blog.naver.com/bomsarangah,37.53217,127.027679,4.5,1,"https://www.google.com/maps/search/?api=1&query=37.53217,127.027679",동물병원
46,動物病院,Veterinary clinic,ソギョンソク動物病院,Seogyeongseok Animal Hospital,서경석동물병원,,江南区,Gangnam-gu,서울 강남구 일원로 35,02-3412-0067,,,37.490641,127.08121,3.8,1,"https://www.google.com/maps/search/?api=1&query=37.490641,127.08121",동물병원
47,動物病院,Veterinary clinic,ソウル動物病院,Seoul Animal Hospital,서울동물병원,,江南区,Gangnam-gu,서울 강남구 역삼로 412,02-566-8211,,,37.500701,127.052353,,0,"https://www.google.com/maps/search/?api=1&query=37.500701,127.052353",동물병원
48,動物病院,Veterinary clinic,ソウル動物医療センター,Seoul Animal Medical Center,서울동물의료센터,,江南区,Gangnam-gu,서울 강남구 역삼로 426,02-566-8211,,,37.501309,127.053678,3.0,5,"https://www.google.com/maps/search/?api=1&query=37.501309,127.053678",동물병원
49,動物病院,Veterinary clinic,ソルルン動物病院,Seolleung Animal Hospital,선릉동물병원,,江南区,Gangnam-gu,서울 강남구 선릉로 533,02-557-1555,https://www.instagram.com/slah5571555,,37.506909,127.046796,5.0,1,"https://www.google.com/maps/search/?api=1&query=37.506909,127.046796",동물병원
50,動物病院,Veterinary clinic,セントロル動物病院,Senteureol Animal Hospital,센트럴동물병원,,江南区,Gangnam-gu,서울 강남구 도곡로 510,02-568-0275,,,37.49902,127.062183,,0,"https://www.google.com/maps/search/?api=1&query=37.49902,127.062183",동물병원
51,動物病院,Veterinary clinic,ソムトルジュ,Somteoljeu,솜털즈,,江南区,Gangnam-gu,서울 강남구 도곡로7길 11,070-4436-4110,,,37.491323,127.034488,,0,"https://www.google.com/maps/search/?api=1&query=37.491323,127.034488",동물병원
52,動物病院,Veterinary clinic,スソ動物病院,Suseo Animal Hospital,수서동물병원,,江南区,Gangnam-gu,서울 강남구 광평로 196,02-459-5955,,,37.483963,127.094269,4.0,2,"https://www.google.com/maps/search/?api=1&query=37.483963,127.094269",동물병원
53,動物病院,Veterinary clinic,スジョン動物病院,Sujeong Animal Hospital,수정동물병원,,江南区,Gangnam-gu,서울 강남구 일원로14길 25,02-6053-6052,,,37.482975,127.08028,5.0,1,"https://www.google.com/maps/search/?api=1&query=37.482975,127.08028",동물병원
54,動物病院,Veterinary clinic,スマート動物病院 ケポジョム,Seu Mart Animal Hospital Gaepojeom,스마트동물병원 개포점,,江南区,Gangnam-gu,서울 강남구 영동대로3길 17,02-554-7582,https://www.instagram.com/smart758_gaepo,,37.487857,127.073773,4.0,17,"https://www.google.com/maps/search/?api=1&query=37.487857,127.073773",동물병원
55,動物病院,Veterinary clinic,スマート動物病院 チョンヒョンウェグァ シンギョンウェグァ,Seu Mart Animal Hospital Jeonghyeongoegwa Singyeongoegwa,스마트동물병원 정형외과 신경외과,,江南区,Gangnam-gu,서울 강남구 도산대로 213,02-549-0279,https://www.instagram.com/smart_0279,,37.520697,127.029989,5.0,8,"https://www.google.com/maps/search/?api=1&query=37.520697,127.029989",동물병원
56,動物病院,Veterinary clinic,シグニチョ動物医療センター,Sigeunicheo Animal Medical Center,시그니처동물의료센터,,江南区,Gangnam-gu,서울 강남구 도산대로 213,02-549-0275,,https://blog.naver.com/signatureamc,37.520707,127.03,4.1,340,"https://www.google.com/maps/search/?api=1&query=37.520707,127.03",동물병원
57,動物病院,Veterinary clinic,シンサ動物病院,Sinsa Animal Hospital,신사동물병원,,江南区,Gangnam-gu,서울 강남구 도산대로 206,02-549-4505,,http://www.sinsa24ah.co.kr,37.519646,127.029017,4.4,4,"https://www.google.com/maps/search/?api=1&query=37.519646,127.029017",동물병원
58,動物病院,Veterinary clinic,アミカル動物病院,Amikal Animal Hospital,아미칼동물병원,,江南区,Gangnam-gu,서울 강남구 남부순환로 2936,,,http://blog.naver.com/amicalamc,37.493348,127.061918,,0,"https://www.google.com/maps/search/?api=1&query=37.493348,127.061918",동물병원
59,動物病院,Veterinary clinic,アイヒル動物病院,Aihil Animal Hospital,아이힐동물병원,,江南区,Gangnam-gu,서울 강남구 도곡로 115,02-561-3375,,,37.490245,127.032982,,112,"https://www.google.com/maps/search/?api=1&query=37.490245,127.032982",동물병원
60,動物病院,Veterinary clinic,アクリス動物医療センター,Akeuriseu Animal Medical Center,아크리스동물의료센터,,江南区,Gangnam-gu,서울 강남구 봉은사로104길 10,02-583-7582,,http://www.acrisamc.co.kr/,37.513714,127.061905,,19,"https://www.google.com/maps/search/?api=1&query=37.513714,127.061905",동물병원
61,動物病院,Veterinary clinic,アプグジョン動物医療センター,Apgujeong Animal Medical Center,압구정동물의료센터,,江南区,Gangnam-gu,서울 강남구 압구정로 226,02-547-7588,,,37.528685,127.032518,3.2,20,"https://www.google.com/maps/search/?api=1&query=37.528685,127.032518",동물병원
62,動物病院,Veterinary clinic,アプグジョンソマン動物病院,Apgujeongsomang Animal Hospital,압구정소망동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로34길 11,010-953-8611,,,37.527376,127.030974,,0,"https://www.google.com/maps/search/?api=1&query=37.527376,127.030974",동물병원
63,動物病院,Veterinary clinic,アプグジョンウェル動物病院,Apgujeongwel Animal Hospital,압구정웰동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로 108,02-3443-0275,,http://blog.naver.com/atylnb,37.522889,127.0206,4.6,3,"https://www.google.com/maps/search/?api=1&query=37.522889,127.0206",동물병원
64,動物病院,Veterinary clinic,オルバイン動物病院,Eolbain Animal Hospital,얼바인동물병원,,江南区,Gangnam-gu,서울 강남구 밤고개로 223,02-459-7515,,https://blog.naver.com/irvineahad,37.474425,127.107105,5.0,21,"https://www.google.com/maps/search/?api=1&query=37.474425,127.107105",동물병원
65,動物病院,Veterinary clinic,エル動物医療センター,Ereu Animal Medical Center,에르동물의료센터,,江南区,Gangnam-gu,서울 강남구 언주로 415,02-2038-4302,,https://blog.naver.com/eramc247,37.500002,127.043592,5.0,117,"https://www.google.com/maps/search/?api=1&query=37.500002,127.043592",동물병원
66,動物病院,Veterinary clinic,エイド動物病院,Eideu Animal Hospital,에이드동물병원,,江南区,Gangnam-gu,서울 강남구 논현로 813,02-545-4975,,,37.521148,127.027901,,87,"https://www.google.com/maps/search/?api=1&query=37.521148,127.027901",동물병원
67,動物病院,Veterinary clinic,イェウン動物医療センター,Yeeun Animal Medical Center,예은동물의료센터,,江南区,Gangnam-gu,서울 강남구 학동로29길 5,02-529-5575,,https://www.yeamc.com/,37.514671,127.031211,4.5,375,"https://www.google.com/maps/search/?api=1&query=37.514671,127.031211",동물병원
68,動物病院,Veterinary clinic,オジュ動物病院,Ojeu Animal Hospital,오즈동물병원,,江南区,Gangnam-gu,서울 강남구 논현로132길 37,02-6958-7515,,,37.515724,127.033435,,1,"https://www.google.com/maps/search/?api=1&query=37.515724,127.033435",동물병원
69,動物病院,Veterinary clinic,オンスピョンサンウェグァ動物医療センター,Onsupyeongsangoegwa Animal Medical Center,온숲영상외과동물의료센터,,江南区,Gangnam-gu,서울 강남구 도곡로 241,02-6951-5324,,,37.493936,127.044873,,0,"https://www.google.com/maps/search/?api=1&query=37.493936,127.044873",동물병원
70,動物病院,Veterinary clinic,ワイジュ24時間動物病院,Waijeu 24h Animal Hospital,와이즈24시동물병원,はい/Yes,江南区,Gangnam-gu,서울 강남구 학동로6길 7,02-3446-8253,,http://blog.naver.com/wise24ah,37.511248,127.023888,,2,"https://www.google.com/maps/search/?api=1&query=37.511248,127.023888",동물병원
71,動物病院,Veterinary clinic,ウリジプ動物病院,Urijip Animal Hospital,우리집동물병원,,江南区,Gangnam-gu,서울 강남구 남부순환로 2737,,,,37.48649,127.045196,5.0,1,"https://www.google.com/maps/search/?api=1&query=37.48649,127.045196",동물병원
72,動物病院,Veterinary clinic,ウォン動物病院,Won Animal Hospital,원동물병원,,江南区,Gangnam-gu,서울 강남구 역삼로 459,02-555-6835,,,37.502863,127.057465,4.7,4,"https://www.google.com/maps/search/?api=1&query=37.502863,127.057465",동물병원
73,動物病院,Veterinary clinic,ウォンソンジュニョンサンウィハクグァ動物病院,Wonseongjunyeongsanguihakgwa Animal Hospital,원성준영상의학과동물병원,,江南区,Gangnam-gu,서울 강남구 도곡로 167,02-6204-7511,,https://vetdi.co.kr,37.491755,127.03794,5.0,4,"https://www.google.com/maps/search/?api=1&query=37.491755,127.03794",동물병원
74,動物病院,Veterinary clinic,イビチ動物チグァ病院,Ibichi Animal Chigwa Clinic,이비치동물치과병원,,江南区,Gangnam-gu,서울 강남구 선릉로 756,02-511-2842,,http://www.evichi.co.kr/,37.522265,127.03967,,93,"https://www.google.com/maps/search/?api=1&query=37.522265,127.03967",동물병원
75,動物病院,Veterinary clinic,イアン動物ウィハクセンター,Ian Animal Uihak Center,이안동물의학센터,,江南区,Gangnam-gu,서울 강남구 선릉로 806,02-574-7533,,http://www.ian.kr,37.523887,127.039562,2.0,23,"https://www.google.com/maps/search/?api=1&query=37.523887,127.039562",동물병원
76,動物病院,Veterinary clinic,イルマレ動物メディカルセンター,Ilmare Animal Medical Center,일마레동물메디컬센터,,江南区,Gangnam-gu,서울 강남구 영동대로 708,02-3445-7275,,,37.521057,127.057138,,1,"https://www.google.com/maps/search/?api=1&query=37.521057,127.057138",동물병원
77,動物病院,Veterinary clinic,イムジェソン動物医療センター,Imjaeseong Animal Medical Center,임재성동물의료센터,,江南区,Gangnam-gu,서울 강남구 일원로9길 74,02-451-7582,,https://blog.naver.com/ljsamc,37.490971,127.087512,5.0,20,"https://www.google.com/maps/search/?api=1&query=37.490971,127.087512",동물병원
78,動物病院,Veterinary clinic,チャヨン動物病院,Jayeon Animal Hospital,자연동물병원,,江南区,Gangnam-gu,서울 강남구 개포로 260,02-576-8275,,,37.479265,127.050926,4.4,1,"https://www.google.com/maps/search/?api=1&query=37.479265,127.050926",동물병원
79,動物病院,Veterinary clinic,チュジュ動物チョンハプ病院,Juju Animal Jonghap Clinic,주주동물종합병원,,江南区,Gangnam-gu,서울 강남구 선릉로 412,02-556-0975,,,37.501754,127.050586,4.4,4,"https://www.google.com/maps/search/?api=1&query=37.501754,127.050586",동물병원
80,動物病院,Veterinary clinic,チュンアン動物メディカルセンター,Jungang Animal Medical Center,중앙동물메디컬센터,,江南区,Gangnam-gu,서울 강남구 영동대로 630,02-512-3331,,https://www.youtube.com/@minivet_park,37.516495,127.059487,3.6,122,"https://www.google.com/maps/search/?api=1&query=37.516495,127.059487",동물병원
81,動物病院,Veterinary clinic,チョンダムゴウンピブグァ動物病院,Cheongdamgounpibugwa Animal Hospital,청담고운피부과동물병원,,江南区,Gangnam-gu,서울 강남구 도산대로 537,02-545-8875,,https://naver.me/Fpxl2ZOP,37.525114,127.052361,5.0,83,"https://www.google.com/maps/search/?api=1&query=37.525114,127.052361",동물병원
82,動物病院,Veterinary clinic,チョンダムヌンチョロンアングァ動物病院,Cheongdamnunchorongangwa Animal Hospital,청담눈초롱안과동물병원,,江南区,Gangnam-gu,서울 강남구 도산대로 412,02-512-7566,,http://www.animaleyes.co.kr/,37.522966,127.040715,,31,"https://www.google.com/maps/search/?api=1&query=37.522966,127.040715",동물병원
83,動物病院,Veterinary clinic,チョンダム動物病院,Cheongdam Animal Hospital,청담동물병원,,江南区,Gangnam-gu,서울 강남구 도산대로50길 13,02-543-4037,,,37.521613,127.037692,5.0,2,"https://www.google.com/maps/search/?api=1&query=37.521613,127.037692",동물병원
84,動物病院,Veterinary clinic,チョンダムニデン動物チグァ病院,Cheongdamniden Animal Chigwa Clinic,청담리덴동물치과병원,,江南区,Gangnam-gu,서울 강남구 영동대로128길 15,02-544-2882,,,37.520158,127.05921,,10,"https://www.google.com/maps/search/?api=1&query=37.520158,127.05921",동물병원
85,動物病院,Veterinary clinic,チョンダムジャントントンネグァ動物病院,Cheongdamjangteunteunnaegwa Animal Hospital,청담장튼튼내과동물병원,,江南区,Gangnam-gu,서울 강남구 도산대로 537,02-549-7581,,,37.525172,127.052374,5.0,163,"https://www.google.com/maps/search/?api=1&query=37.525172,127.052374",동물병원
86,動物病院,Veterinary clinic,チュンヒョン動物チョンハプ病院,Chunghyeon Animal Jonghap Clinic,충현동물종합병원,,江南区,Gangnam-gu,서울 강남구 논현로 621,02-549-7582,,,37.509044,127.032773,2.4,4,"https://www.google.com/maps/search/?api=1&query=37.509044,127.032773",동물병원
87,動物病院,Veterinary clinic,チリョモンモン動物病院,Chiryomeongmeong Animal Hospital,치료멍멍동물병원,,江南区,Gangnam-gu,서울 강남구 언주로172길 11,02-545-0075,,https://7500clinic.com,37.527952,127.034798,4.9,1,"https://www.google.com/maps/search/?api=1&query=37.527952,127.034798",동물병원
88,動物病院,Veterinary clinic,コビ動物病院,Keobi Animal Hospital,커비동물병원,,江南区,Gangnam-gu,서울 강남구 강남대로122길 47,02-545-8952,http://www.instagram.com/kerby_vetclinic,,37.50897,127.026681,,7,"https://www.google.com/maps/search/?api=1&query=37.50897,127.026681",동물병원
89,動物病院,Veterinary clinic,クルラリチ 動物チグァ病院,Keullariti Animal Chigwa Clinic,클라리티 동물치과병원,,江南区,Gangnam-gu,서울 강남구 학동로 208,02-2038-7889,,https://www.clarity-vetdental.kr/,37.51405,127.031988,5.0,19,"https://www.google.com/maps/search/?api=1&query=37.51405,127.031988",동물병원
90,動物病院,Veterinary clinic,トントン動物病院,Teunteun Animal Hospital,튼튼동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로 151,02-549-9773,,http://blog.naver.com/vetmsh,37.526786,127.024455,5.0,1,"https://www.google.com/maps/search/?api=1&query=37.526786,127.024455",동물병원
91,動物病院,Veterinary clinic,ポピジュン動物病院,Peopijeun Animal Hospital,퍼피즌동물병원,,江南区,Gangnam-gu,서울 강남구 선릉로 636,02-541-2651,,,37.513222,127.042985,5.0,3,"https://www.google.com/maps/search/?api=1&query=37.513222,127.042985",동물병원
